Dataset,Horizon,Model,Type,n_folds,MSE,RMSE,MAE,MAPE,Directional_Accuracy,Strategy_Return_Pct,inference_time,Sharpe_Ratio,Max_Drawdown,Calmar_Ratio
SP500_Monthly,1,naive,naive,36,35820.36698838075,161.45054796006946,161.45054796006946,3.100695780002324,0.0,0.0,0.00021089447869194878,0.0,0.0,0.0
SP500_Monthly,1,arima,classical,36,39019.68672207082,169.28708052577798,169.28708052577798,3.2503970682086045,13.88888888888889,-0.19045927213552533,0.036676645278930664,-0.3220653551749008,14.330195246196453,-0.17506880586412604
SP500_Monthly,1,ses,classical,36,40979.43661491496,175.05537716084766,175.05537716084766,3.3601547106088367,38.888888888888886,-0.3207040477073755,0.0009131497806972928,-0.29060157529680763,23.03031853680296,-0.1994742261933422
SP500_Monthly,1,holt,classical,36,61848.478941739355,209.02779853064465,209.02779853064465,4.205483798388503,41.666666666666664,-0.19466663312128724,0.0013119710816277398,-0.17599268306631258,15.00526642540138,-0.20924719969201686
SP500_Monthly,1,timegpt,foundation,36,34745.59601526709,151.81099053819443,151.81099053819443,2.9582963012278225,63.888888888888886,1.042571783025915,2.4478201866149902,0.9792312576311853,9.020044881836165,1.371509920939635
SP500_Monthly,1,moirai,foundation,36,3600020.5298449164,543.8295220269097,543.8295220269097,12.181504319591626,47.22222222222222,0.3091520829302126,0.06810002194510566,0.2800622229182993,10.806918655455153,0.26827930426224317
SP500_Monthly,1,chronos,foundation,36,42210.06115798321,173.90551079644098,173.90551079644098,3.292824039022258,47.22222222222222,0.2111763917888226,0.08217456605699328,0.19096352217116214,13.322768585843217,0.12753449378686535
SP500_Monthly,1,timesfm,foundation,36,354949.86745840806,535.8888007269966,535.8888007269966,10.06797895696553,27.77777777777778,-1.8149695756267823,0.05555256870057848,-1.867665016729218,47.39757159406757,-0.4278135827777461
SP500_Monthly,1,gemma4_local,llm_local,36,55383.68500782975,200.22301649305564,200.22301649305564,3.8930015925528574,44.44444444444444,-0.41044180195275076,0.5512139134936862,-0.3727778825258311,24.47135834652978,-0.23008670506504772
SP500_Monthly,1,qwen3_local,llm_local,36,168928.4888537065,290.8463812934029,290.8463812934029,5.461930193795155,50.0,-0.3103759567798285,1.1585814025666978,-0.29074221503187575,21.027963131388333,-0.21118092242011427
SP500_Monthly,3,naive,naive,34,91616.61684093522,279.23071204201534,255.28696097579657,4.7875010219313765,0.0,0.0,0.0002139736624325023,0.0,0.0,0.0
SP500_Monthly,3,arima,classical,34,102619.1843690357,287.0530630773259,262.86818014110685,4.933604935518208,11.764705882352942,-0.2039435932733734,0.03779209361356847,-0.3350148707809395,14.330195246196453,-0.1870857543216311
SP500_Monthly,3,ses,classical,34,97821.12317191529,290.0547269347541,267.1906286029611,5.003979346241909,38.23529411764706,-0.33728815714852156,0.0010367351419785444,-0.2968220029581464,22.93015716895719,-0.21070249524441725
SP500_Monthly,3,holt,classical,34,125912.17795882035,318.775280074967,294.86316205835845,5.794516548885076,41.1764705882353,-0.20839844608182717,0.0014172652188469382,-0.1829684966992502,15.00526642540138,-0.22311018286796525
SP500_Monthly,3,timegpt,foundation,34,75343.48327753779,249.03592992308228,222.80680743719367,4.2297531496833765,64.70588235294117,1.101618700426975,2.4117955249898575,1.0069700929477574,9.020044881836165,1.4538488453604614
SP500_Monthly,3,moirai,foundation,34,9739657.44092869,992.411268630548,853.4276841107537,17.697571695792686,61.76470588235294,0.7775853746769444,0.07475748482872457,0.6957431471567409,10.806918655455169,0.8140519669730026
SP500_Monthly,3,chronos,foundation,34,116928.42072848827,303.07526619105437,276.8451095281863,5.150602993863343,52.94117647058823,0.2895379960913,0.06651003220502068,0.2545474948411288,21.120086539507327,0.12347203147594751
SP500_Monthly,3,timesfm,foundation,34,479684.7204226916,638.450080360374,622.3415694891237,11.56879373709539,26.470588235294116,-1.9194516572984819,0.06329210365519804,-1.9343176886493223,47.32911956099444,-0.45028185213016036
SP500_Monthly,3,gemma4_local,llm_local,34,173450.86507479943,366.1235761834692,332.4967476639093,6.4861725018581,50.0,-0.18460888369440664,1.3349271662095015,-0.1620317473398332,21.35758335188738,-0.1445518082779855
SP500_Monthly,3,qwen3_local,llm_local,34,331298.60141467,486.7671931425066,462.58027477787994,8.502690071810987,35.294117647058826,-1.0023679813767614,2.3373025094761566,-0.9424774144442075,29.522618363627018,-0.40984833742828497
SP500_Daily,1,naive,naive,157,2102.1101684953755,31.738995011445063,31.738995011445063,0.5852657828123077,0.0,0.0,0.0002226434695492884,0.0,0.0,0.0
SP500_Daily,1,arima,classical,157,2109.7943797215958,31.575170497096433,31.575170497096433,0.5825326099559345,17.197452229299362,-0.001830120939230088,0.19110441815321613,-0.08486783790179296,3.7785721539267305,-0.16057832728918223
SP500_Daily,1,ses,classical,157,2105.565101049083,31.77034769655147,31.77034769655147,0.585762164978091,48.40764331210191,0.018714323931145024,0.0012927252775544573,0.35763693357942045,6.56501270870829,0.5984715351404126
SP500_Daily,1,holt,classical,157,2087.691452855202,31.698833745651704,31.698833745651704,0.5850956867395068,52.86624203821656,0.11947430084419898,0.006139278411865234,2.3067364592565816,6.464589706334187,5.255729033581897
SP500_Daily,1,timegpt,foundation,157,2647.003408866413,35.10817110867833,35.10817110867833,0.6514948847019393,54.77707006369427,0.0800557663834788,2.4254363266525756,1.5366969673498878,7.096340758469088,3.0015343929234057
SP500_Daily,1,moirai,foundation,157,4713.163786026323,43.96965814092356,43.96965814092356,0.8293424030661716,49.044585987261144,0.007263988652822275,0.07175139864538885,0.13878712778968377,11.79386257292009,0.0821862847455898
SP500_Daily,1,chronos,foundation,157,2232.2448306679726,33.19863250149283,33.19863250149283,0.618651414543284,51.59235668789809,0.05683427754585808,0.06221367143521643,1.0884101625276208,9.768230286340568,1.4750320814382483
SP500_Daily,1,timesfm,foundation,157,12591.388757018147,95.54316623955016,95.54316623955016,1.8347297198977455,40.76433121019108,-0.08329657796314024,0.06173770594748722,-1.5995285681049394,15.89461347213024,-1.2352722128998406
SP500_Daily,1,gemma4_local,llm_local,157,2770.012355997122,37.85242747312902,37.85242747312902,0.7108441960436689,47.77070063694268,-0.11888642517660329,1.414393645183296,-2.2951467303445243,23.475881843708688,-1.1300563196332707
SP500_Daily,1,qwen3_local,llm_local,157,3197.2098465574277,34.82337878184713,34.82337878184713,0.6509899909726313,52.86624203821656,0.06702517105080193,2.675857214411353,1.3012165435617955,6.502953125381058,2.6767052141020353
SP500_Daily,5,naive,naive,156,6358.085485268174,66.37507362911099,57.76869334685496,1.091618454753169,0.0,0.0,0.00024372186416234725,0.0,0.0,0.0
SP500_Daily,5,arima,classical,156,6501.300309287868,67.05776259114165,58.277272958825016,1.1011907103999228,17.307692307692307,-0.0018418524837123323,0.1941320254252507,-0.08513767426013617,3.7785721539267305,-0.1616045263678366
SP500_Daily,5,ses,classical,156,6360.948149858541,66.38187482286742,57.781979274683614,1.0917793345669309,48.717948717948715,0.02107278208478579,0.0013584861388573279,0.4016692993626642,6.324558163037911,0.7184294031252836
